出度,入度
1,1
2,1
2,1
1,1
1,1
1,1
8,6
3,1
1,1
1,1
1,1
2,1
1,1
1,7
10,1
1,1
1,5
1,1
8,2
1,1
3,1
1,2
2,1
0,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
2,2
3,1
3,1
3,1
2,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
1,1
3,3
1,1
1,1
1,1
2,1
1,1
2,1
2,1
1,4
4,1
1,1
2,1
1,1
1,1
2,1
1,1
0,1
1,1
3,1
2,1
3,1
3,1
1,42
1,1
1,43
0,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
3,1
1,1
4,2
1,1
1,1
0,1
0,1
1,1
1,2
8,1
1,2
8,3
4,3
0,2
3,1
1,1
0,1
0,1
1,1
2,2
1,1
1,1
1,1
2,4
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
1,2
0,1
1,1
0,1
4,1
0,1
1,3
1,1
1,4
1,3
2,1
2,5
1,1
1,2
9,3
11,4
1,1
1,2
2,2
2,2
1,1
1,1
1,2
2,2
1,1
1,1
1,3
1,4
1,2
3,4
1,3
1,1
1,1
1,5
2,1
1,6
1,1
1,1
1,1
0,2
1,1
2,1
1,1
0,3
0,2
0,1
0,1
0,1
1,1
1,1
0,1
0,1
1,1
0,1
